rank,Youtuber,subscribers,video views,video count,category,started,year,freq_m
66,ChuChuTV EspaÃ±ol,10500000,4644916347,428,Education,2015,8.5,4.196078431372549
67,Hindi Countdown,10300000,2130105071,407,Education,2016,7.5,4.522222222222222
68,Moonbug Kids - Tiny TV,10100000,4562682797,1539,Education,2018,5.5,23.318181818181817
69,AJ Official,10100000,1416818438,904,Education,2014,9.5,7.929824561403509
70,ZAmericanEnglish,10000000,496497584,684,Education,2017,6.5,8.769230769230768
71,Dolly and Friends,9890000,3349096189,710,Education,2016,7.5,7.888888888888889
72,ToyMonster,9890000,328713739,50,Education,2015,8.5,0.4901960784313726
73,à¦®à¦¾à¦¯à¦¼à¦¾à¦à¦¾à¦²,9880000,1483946017,650,Education,2017,6.5,8.333333333333334
74,English with Lucy,9840000,434894808,371,Education,2016,7.5,4.122222222222223
75,BabyBus PortuguÃªs - MÃºsicas Infantis e Desenhos,9830000,5040902932,837,Education,2019,4.5,15.5
76,SSC MAKER,9620000,613749131,6629,Education,2017,6.5,84.98717948717949
77,Lama FachÃ©,9490000,2377824258,2236,Education,2016,7.5,24.844444444444445
78,Hungry Birds,9320000,4851700332,462,Education,2016,7.5,5.133333333333334
79,Mother Goose Club,9260000,10649893976,1402,Education,2008,15.5,7.537634408602151
80,Super JoJo - Canciones Infantiles,9160000,42990363,10,Education,2019,4.5,0.1851851851851852
81,Born2Kill,9110000,622885382,433,Education,2016,7.5,4.811111111111111
82,Harsha Sai - For You Telugu,9100000,991779633,114,Education,2018,5.5,1.7272727272727273
83,ÙÙ ØªØ¹ÙÙØ,9100000,1059510238,2408,Education,2015,8.5,23.607843137254903
84,Moonbug Kids - Cartoons and Kids Songs,8980000,5530829677,1650,Education,2015,8.5,16.176470588235293
85,LIV Kids Hindi,8970000,5263776974,2265,Education,2016,7.5,25.166666666666668
86,Ø¹ÙØ± Ø¹Ø¨Ø¯ Ø§ÙÙØ§ÙÙ,8950000,1009710915,3442,Education,2012,11.5,24.942028985507246
87,Hindi stories,8900000,2697534523,342,Education,2011,12.5,2.28
88,Liova and Toys,8870000,1441844378,33,Education,2017,6.5,0.4230769230769231
89,Isamara AmÃ¢ncio,8780000,1068688856,1466,Education,2010,13.5,9.049382716049383
90,Islamic Teacher Official,8760000,699971598,1372,Education,2016,7.5,15.244444444444445
91,Be Inspired,8750000,476329780,351,Education,2015,8.5,3.4411764705882355
92,Doc Willie Ong,8680000,1264224959,5373,Education,2007,16.5,27.136363636363637
93,Sevimli Dostlar,8380000,9112729830,894,Education,2013,10.5,7.095238095238095
94,#Mind Warehouse,8360000,1985403211,710,Education,2013,10.5,5.634920634920635
95,CHANDAN ART ACADEMY,8350000,6246328492,1606,Education,2016,7.5,17.844444444444445
