rank,Youtuber,subscribers,video views,video count,category,started,year,freq_m
84,Телеканал Алматы / Almaty TV,1130000,391187437,62823,Nonprofits & Activism,2010,13.5,387.7962962962963
85,OPPO Thailand,1120000,420181450,415,Nonprofits & Activism,2010,13.5,2.5617283950617282
86,大日宗 法身宗,1110000,263146681,313,Nonprofits & Activism,2015,8.5,3.068627450980392
87,Invisible People,1110000,282748167,1253,Nonprofits & Activism,2008,15.5,6.736559139784947
88,Jesus no Comando,1080000,30245076,956,Nonprofits & Activism,2015,8.5,9.372549019607844
89,Миссия Dawah,1040000,166138022,845,Nonprofits & Activism,2016,7.5,9.38888888888889
90,Дмитрий ПОТАПЕНКО,1020000,242054762,1015,Nonprofits & Activism,2015,8.5,9.950980392156863
91,CakNun.com,1020000,130665584,1187,Nonprofits & Activism,2013,10.5,9.420634920634921
92,Dr. Armando Alducin,1020000,119314159,997,Nonprofits & Activism,2013,10.5,7.912698412698412
93,Телеканал СПАС,1010000,297520179,15017,Nonprofits & Activism,2012,11.5,108.81884057971014
94,MaroWeltShow,1000000,265144659,2966,Nonprofits & Activism,2011,12.5,19.773333333333333
95,Southeastern Guide Dogs,961000,486430714,312,Nonprofits & Activism,2011,12.5,2.08
96,Jace Norman,960000,37139136,23,Nonprofits & Activism,2012,11.5,0.16666666666666666
97,Сила Слова,957000,140581778,3757,Nonprofits & Activism,2016,7.5,41.74444444444445
98,법륜스님의 희망세상만들기,944000,467502483,951,Nonprofits & Activism,2009,14.5,5.4655172413793105
99,Haramain Support,941000,123506393,4944,Nonprofits & Activism,2016,7.5,54.93333333333334
100,Fr V.P Joseph Kreupasanam Official,934000,238817447,8949,Nonprofits & Activism,2015,8.5,87.73529411764706
101,Talk Islam,904000,54744204,66,Nonprofits & Activism,2007,16.5,0.3333333333333333
102,Аудио статьи,902000,468757815,3497,Nonprofits & Activism,2017,6.5,44.833333333333336
103,Desiring God,894000,188811608,5991,Nonprofits & Activism,2007,16.5,30.257575757575754
104,NewSoldat,869000,202655823,816,Nonprofits & Activism,2011,12.5,5.44
105,Samira Arbid,860000,252050933,1335,Nonprofits & Activism,2011,12.5,8.9
106,World Health Organization (WHO),854000,100555429,3295,Nonprofits & Activism,2005,18.5,14.842342342342342
107,الوائلي ميديا,843000,124476434,841,Nonprofits & Activism,2015,8.5,8.245098039215685
108,Политическая Россия – PolitRussia,824000,103098567,1024,Nonprofits & Activism,2012,11.5,7.420289855072464
109,TOK,820000,98303124,113,Nonprofits & Activism,2017,6.5,1.4487179487179487
110,Lana Condor,816000,27944951,28,Nonprofits & Activism,2019,4.5,0.5185185185185185
111,Comic Relief: Red Nose Day,811000,313381942,1214,Nonprofits & Activism,2006,17.5,5.780952380952381
112,Denis Kazanskyi,800000,356778477,2102,Nonprofits & Activism,2009,14.5,12.080459770114942
