rank,Youtuber,subscribers,video views,video count,category,started,year,freq_m
115,Wrzzer,4020000,899201844,204,Sports,2015,8.5,2.0
116,VINDES,4010000,822447348,813,Sports,2020,3.5,19.357142857142858
117,Hugo Milgrau,4010000,215161924,700,Sports,2014,9.5,6.140350877192983
118,UFC Eurasia,3950000,1541841958,3063,Sports,2018,5.5,46.40909090909091
119,One Sports,3910000,1697619021,20883,Sports,2015,8.5,204.73529411764707
120,Commando Fitness club,3900000,940852243,213,Sports,2014,9.5,1.868421052631579
121,UEFA,3890000,1161587686,4524,Sports,2006,17.5,21.542857142857144
122,COMMANDO ACADEMY PHYSICAL,3890000,2772048403,2518,Sports,2021,2.5,83.93333333333334
123,NekAo official,3850000,2168194889,1040,Sports,2021,2.5,34.666666666666664
124,Ballislife,3810000,1457579412,2917,Sports,2007,16.5,14.732323232323232
125,iLance7i,3760000,969343504,222,Sports,2015,8.5,2.176470588235294
126,Royal Challengers Bangalore,3760000,536991231,2128,Sports,2010,13.5,13.135802469135802
127,PÃ¢nico Jovem Pan,3760000,1290577804,13588,Sports,2015,8.5,133.2156862745098
128,zzSHOWzz,3760000,1666304744,391,Sports,2015,8.5,3.8333333333333335
129,T Sports,3740000,616318785,10476,Sports,2020,3.5,249.42857142857144
130,Mumbai Indians,3680000,1525848487,3851,Sports,2010,13.5,23.771604938271604
131,Hello Friends Vlogs,3680000,3812,2,Sports,2017,6.5,0.025641025641025644
132,growingannanas,3640000,1536319154,691,Sports,2017,6.5,8.85897435897436
133,Sports Edge Cricket,3630000,829620388,8863,Sports,2017,6.5,113.62820512820512
134,ge,3590000,1788725688,9875,Sports,2020,3.5,235.11904761904762
135,Windies Cricket,3580000,1026489982,2212,Sports,2017,6.5,28.35897435897436
136,GD's Highlights,3580000,5081266086,5950,Sports,2015,8.5,58.333333333333336
137,MalovaElena,3540000,339768416,871,Sports,2011,12.5,5.8066666666666675
138,ESPN Deportes,3520000,2525185759,30139,Sports,2019,4.5,558.1296296296297
139,ÐÐ°ÑÑ Ð¢Ð,3510000,1787620777,12294,Sports,2015,8.5,120.52941176470587
140,3Sskaters,3500000,804133248,1293,Sports,2013,10.5,10.261904761904761
141,FC Bayern MÃ¼nchen,3500000,1369025797,5348,Sports,2006,17.5,25.46666666666667
