rank,Youtuber,subscribers,video views,video count,category,started,year,freq_m
110,Total Gaming,35500000,5592944339,1208,Gaming,2018,5.5,18.3030303030303
111,T-Series Bollywood Classics,35500000,22700455357,2009,Music,2012,11.5,14.557971014492752
112,Markiplier,35200000,20319657490,5490,Gaming,2012,11.5,39.78260869565217
113,Ryan's World,35200000,55350491581,2453,Entertainment,2015,8.5,24.049019607843135
114,Genevieve's Playhouse - Learning Videos for Kids,35000000,25665304522,617,Education,2016,7.5,6.855555555555555
115,Ricis Official,34900000,6123962016,2763,People & Blogs,2016,7.5,30.7
116,T-Series Apna Punjab,34700000,21374152095,7701,Music,2011,12.5,51.34
117,Techno Gamerz,34700000,9800842223,944,Gaming,2017,6.5,12.102564102564102
118,Jingle Toons,34300000,11447325427,240,Film & Animation,2013,10.5,1.9047619047619049
119,Geet MP3,34300000,12799774787,682,Music,2016,7.5,7.577777777777778
120,J Balvin,34100000,23038893643,141,Music,2011,12.5,0.94
121,Galinha Pintadinha,33900000,27535909540,66,Film & Animation,2006,17.5,0.3142857142857143
122,SSSniperWolf,33800000,23572690210,3365,Gaming,2013,10.5,26.706349206349206
123,VEGETTA777,33800000,15447914814,7605,Gaming,2008,15.5,40.887096774193544
124,Desi Music Factory,33700000,10201205794,130,Music,2014,9.5,1.1403508771929824
125,Selena Gomez,33700000,13075555134,188,Film & Animation,2008,15.5,1.010752688172043
126,Rajshri,33700000,14959322139,3735,Music,2006,17.5,17.785714285714285
127,Ch3Thailand,33500000,29688192325,96183,Entertainment,2014,9.5,843.7105263157895
128,KHANDESHI MOVIES,33500000,11418775172,217,Comedy,2013,10.5,1.7222222222222223
129,CVS 3D Rhymes & Kids Songs,33500000,20353910136,338,Education,2008,15.5,1.8172043010752688
130,NoCopyrightSounds,33400000,10567136166,1336,Music,2011,12.5,8.906666666666666
131,BETER BÃCÃK,33000000,19454226251,2738,,2012,11.5,19.840579710144926
132,BabyBus - Kids Songs and Cartoons,32900000,26439924903,2127,Education,2016,7.5,23.633333333333336
133,TheDonato,32800000,6339792927,3033,Entertainment,2015,8.5,29.735294117647058
134,DisneyMusicVEVO,32800000,28715963909,2090,Music,2010,13.5,12.901234567901234
135,The Weeknd,32800000,23586660704,169,Music,2011,12.5,1.1266666666666667
136,Eros Now Music,32700000,17915302328,9835,Entertainment,2007,16.5,49.67171717171717
137,StarPlus,32400000,27446769244,45033,Entertainment,2006,17.5,214.44285714285715
138,WowKidz,32300000,16716417246,4378,Film & Animation,2015,8.5,42.921568627450974
139,YOLO AVENTURAS,32300000,10020630409,1707,People & Blogs,2018,5.5,25.863636363636363
140,KAROL G,32200000,18845282574,134,Music,2013,10.5,1.0634920634920635
141,GMA  Network,32100000,19567977942,93298,Entertainment,2006,17.5,444.2761904761905
142,Mr Bean,32100000,10634087133,3098,Shows,2006,17.5,14.752380952380953
143,rezendeevil,32100000,13084926458,11882,Gaming,2012,11.5,86.10144927536231
144,MR. INDIAN HACKER,32000000,5760658651,929,Science & Technology,2012,11.5,6.731884057971015
145,Lucas and Marcus,31900000,11822362421,1327,Entertainment,2011,12.5,8.846666666666666
146,SMTOWN,31900000,27476405673,4165,Music,2006,17.5,19.833333333333332
147,Dream,31800000,2935934168,116,Gaming,2014,9.5,1.0175438596491229
148,Worldwide Records Bhojpuri,31800000,16538805765,6527,Music,2012,11.5,47.29710144927537
149,GENIAL,31800000,6776728808,6753,Howto & Style,2017,6.5,86.57692307692308
150,DONA ëë,31700000,21055752770,166,Entertainment,2018,5.5,2.515151515151515
151,JustinBieberVEVO,31600000,26627840375,204,Music,2009,14.5,1.1724137931034482
152,Luis Fonsi,31500000,15210084074,179,Entertainment,2014,9.5,1.5701754385964912
153,Peppa Pig - Official Channel,31500000,22962119961,3589,Film & Animation,2013,10.5,28.484126984126984
154,AboFlah,31400000,4617103590,643,Gaming,2016,7.5,7.144444444444445
155,The Tonight Show Starring Jimmy Fallon,31200000,17076243343,8981,Comedy,2006,17.5,42.76666666666667
156,Frost Diamond,31100000,7322367177,2838,Gaming,2014,9.5,24.894736842105264
157,Zee News,30900000,17007327120,180177,News & Politics,2007,16.5,909.9848484848485
158,Round2hell,30800000,3157338908,67,Comedy,2016,7.5,0.7444444444444445
159,ImagineDragons,30700000,16896708833,93,Music,2009,14.5,0.5344827586206896
160,Diana and Roma ESP,30700000,12374524512,578,,2016,7.5,6.422222222222222
161,à¤µà¥à¤²à¤¾à¤¦ à¤à¤° à¤¨à¤¿à¤à¤¿à¤¤à¤¾,30400000,18025373899,531,,2018,5.5,8.045454545454545
162,Trap Nation,30400000,14047278193,2725,Music,2012,11.5,19.746376811594203
163,AH,30400000,4344078893,2216,Entertainment,2014,9.5,19.438596491228072
164,Boram Tube Vlog [ë³´ëíë¸ ë¸ì´ë¡ê·¸],30300000,13561951091,223,Entertainment,2012,11.5,1.615942028985507
165,Adele,30300000,14272139558,15,Music,2008,15.5,0.08064516129032258
166,ÙÙØ§Ø© Ø·ÙÙØ± Ø§ÙØ¬ÙØ© | toyoraljanahtv,30300000,27719811079,3253,Entertainment,2008,15.5,17.489247311827956
167,Talking Tom,30200000,15240126244,529,Comedy,2010,13.5,3.265432098765432
168,jacksepticeye,30100000,16271486579,5114,Gaming,2007,16.5,25.828282828282827
169,Spinnin' Records,30100000,19667747365,11516,Music,2007,16.5,58.161616161616166
170,Little Angel: Nursery Rhymes & Kids Songs,30100000,22616423829,1348,Education,2015,8.5,13.215686274509805
171,Shawn Mendes,30000000,12877530494,133,Music,2011,12.5,0.8866666666666667
172,ashish chanchlani vines,29800000,4472821300,151,Comedy,2009,14.5,0.867816091954023
173,Ultra Records,29600000,17247454456,4906,Music,2006,17.5,23.361904761904764
174,Zhong,29500000,14850830899,1511,Entertainment,2015,8.5,14.813725490196077
175,Enaldinho,29500000,11750928350,3655,Comedy,2012,11.5,26.485507246376812
176,Popular on YouTube,29300000,0,0,,2013,10.5,0.0
177,Maluma,29300000,21307485562,35,Music,2018,5.5,0.5303030303030303
178,Shorts Break,29200000,19589309053,461,Comedy,2021,2.5,15.366666666666667
179,AuronPlay,29200000,4084701167,404,Comedy,2006,17.5,1.9238095238095239
180,infobells - Tamil,29000000,17988909959,556,Education,2014,9.5,4.87719298245614
181,infobells - Telugu,28800000,14997816884,506,Education,2014,9.5,4.43859649122807
