rank,Youtuber,subscribers,video views,video count,category,started,year,freq_m
29,Pencilmation,20000000,11323140724,1484,Film & Animation,2007,16.5,7.494949494949495
30,Official Pink Panther,19700000,10982628665,725,Film & Animation,2013,10.5,5.753968253968254
31,Goldmines Great Indian Comedy,19300000,5252158827,2971,Film & Animation,2016,7.5,33.01111111111111
32,Wow Kidz Action,19100000,8330559933,1543,Film & Animation,2017,6.5,19.78205128205128
33,Turma da MÃ´nica,19000000,13856949550,1154,Film & Animation,2012,11.5,8.362318840579709
34,El Payaso Plim Plim,17900000,17481364668,1316,Film & Animation,2013,10.5,10.444444444444445
35,MSA previously My Story Animated,17900000,8732400304,1070,Film & Animation,2019,4.5,19.814814814814813
36,Les' Copaque Production,17800000,9106996904,1716,Film & Animation,2009,14.5,9.86206896551724
37,Stubborn Facts,17300000,902709426,287,Film & Animation,2016,7.5,3.1888888888888887
38,Gato Galactico | GALÃXIA,16800000,3708059521,1491,Film & Animation,2013,10.5,11.833333333333334
39,Totoy kids - EspaÃ±ol,16000000,6032933963,344,Film & Animation,2017,6.5,4.41025641025641
40,Volga Video,15800000,9793211960,16507,Film & Animation,2012,11.5,119.6159420289855
41,Rotten Tomatoes Trailers,15800000,13133694193,10450,Film & Animation,2011,12.5,69.66666666666667
42,Zig & Sharko,14500000,9075447355,980,Film & Animation,2015,8.5,9.607843137254902
43,Invento na Hora,14200000,4047772592,1282,Film & Animation,2014,9.5,11.24561403508772
44,Darkar Company Studios,13900000,2246585179,184,Film & Animation,2009,14.5,1.0574712643678161
45,Peppa Pig em PortuguÃªs Brasil - Canal Oficial,13200000,4237929060,1371,Film & Animation,2014,9.5,12.026315789473685
46,Zee Kids,12500000,7731626071,1214,Film & Animation,2012,11.5,8.797101449275361
47,GoldminesAction,12300000,1286189502,958,Film & Animation,2015,8.5,9.392156862745098
48,POCOYÃ en ESPAÃOL - Canal Oficial,12300000,9163359879,1801,Film & Animation,2007,16.5,9.095959595959597
49,The Film Theorists,12200000,2709521873,421,Film & Animation,2014,9.5,3.692982456140351
50,Nat and Essie,12200000,7285448340,1181,Film & Animation,2015,8.5,11.57843137254902
51,NH Studioz,12100000,3974688425,6027,Film & Animation,2011,12.5,40.18
52,Jaiden Animations,12000000,2319051828,140,Film & Animation,2014,9.5,1.2280701754385965
53,Peppa Pig Hindi,11800000,5817258558,903,Film & Animation,2018,5.5,13.681818181818182
54,à¤®à¤¾à¤¶à¤¾ à¤à¤à¤¡ à¤¦ à¤¬à¥à¤¯à¤°,11800000,5103903352,949,Film & Animation,2017,6.5,12.166666666666666
55,OGGY,11700000,6042268285,1076,Film & Animation,2014,9.5,9.43859649122807
56,KÃªnh Thiáº¿u Nhi - BHMEDIA,11700000,10821702330,9520,Film & Animation,2014,9.5,83.50877192982456
57,Machinima,11600000,0,0,Film & Animation,2006,17.5,0.0
58,Goldmines Housefull,11600000,1293730929,955,Film & Animation,2015,8.5,9.362745098039216
59,CS Bisht Vines,11500000,8547709630,110,Film & Animation,2017,6.5,1.4102564102564104
60,Pen Multiplex,11500000,3568988043,2866,Film & Animation,2015,8.5,28.098039215686274
61,Avocado Couple I Crazy Comics,11400000,3023817430,850,Film & Animation,2018,5.5,12.878787878787877
62,Wamindia Movies,11300000,2552189931,562,Film & Animation,2012,11.5,4.072463768115942
63,Chotoonz TV - Funny Cartoons for Kids,11200000,6577630131,1653,Film & Animation,2013,10.5,13.119047619047619
64,Tayo Bus Kecil - Tayo Bahasa Indonesia,11100000,5111107976,1058,Film & Animation,2016,7.5,11.755555555555555
65,Hindi Fairy Tales,11100000,4563708128,616,Film & Animation,2016,7.5,6.844444444444445
66,Shaun the Sheep Official,10900000,5650007287,653,Film & Animation,2014,9.5,5.728070175438597
67,Monsta,10800000,4374744449,1506,Film & Animation,2014,9.5,13.210526315789473
68,Cleo y Cuquin - Canciones infantiles,10800000,5870914459,682,Film & Animation,2014,9.5,5.982456140350877
69,Hindi Kahaniya,10700000,4111977958,1002,Film & Animation,2018,5.5,15.181818181818182
70,TopMovieClips,10500000,7526170617,349,Film & Animation,2017,6.5,4.4743589743589745
71,Vie Channel,10500000,5128625898,9622,Film & Animation,2012,11.5,69.72463768115942
72,How It Should Have Ended,10400000,3201149936,464,Film & Animation,2007,16.5,2.3434343434343434
73,Dharma Productions,10400000,5326696481,1368,Film & Animation,2010,13.5,8.444444444444445
74,Tanner Fox,10300000,2102409646,1335,Film & Animation,2011,12.5,8.9
75,Oddbods - Official Channel,10200000,7690140386,1649,Film & Animation,2014,9.5,14.464912280701753
76,Larva TUBA,10000000,4530919246,2116,Film & Animation,2011,12.5,14.106666666666667
77,Tayo the Little Bus,9950000,7824572271,3275,Film & Animation,2005,18.5,14.752252252252253
78,Cartoon Studio,9720000,4365401152,79,Film & Animation,2016,7.5,0.8777777777777778
79,icanrockyourworld,9710000,5281682302,8,Film & Animation,2007,16.5,0.04040404040404041
80,Donnalyn,9700000,605898384,191,Film & Animation,2008,15.5,1.0268817204301075
81,Peacock Kids,9690000,6494393160,3088,Film & Animation,2006,17.5,14.704761904761904
82,GameToons,9690000,3210532386,441,Film & Animation,2020,3.5,10.5
83,WildBrain NiÃ±os,9400000,3520699142,3909,Film & Animation,2013,10.5,31.023809523809522
84,mercuri_88,9340000,5802726326,553,Film & Animation,2007,16.5,2.792929292929293
85,Wow Kidz Comedy,9240000,3229704927,2024,Film & Animation,2017,6.5,25.948717948717945
86,CinemaSins,9190000,3784750431,1242,Film & Animation,2012,11.5,9.0
